# cum_return=0.230807	ann_return=0.291846	sharpe=1.777806	max_dd=0.077436	n_days=189	daily_mean=0.001158	daily_std=0.010341
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	10149.7000	149.7000
2025-07-03	10279.1800	129.4800
2025-07-07	10220.1100	-59.0700
2025-07-08	10305.2900	85.1800
2025-07-09	10374.1200	68.8300
2025-07-10	10353.7600	-20.3600
2025-07-11	10405.3400	51.5800
2025-07-14	10509.4600	104.1200
2025-07-15	10560.7700	51.3100
2025-07-16	10621.5300	60.7600
2025-07-17	10717.5300	96.0000
2025-07-18	10809.2200	91.6900
2025-07-21	10841.1900	31.9700
2025-07-22	10912.2000	71.0100
2025-07-23	10991.5300	79.3300
2025-07-24	11133.6200	142.0900
2025-07-25	10950.8850	-182.7350
2025-07-28	10867.8050	-83.0800
2025-07-29	10821.6250	-46.1800
2025-07-30	10847.2350	25.6100
2025-07-31	10920.0550	72.8200
2025-08-01	10916.7850	-3.2700
2025-08-04	10846.3650	-70.4200
2025-08-05	10870.8350	24.4700
2025-08-06	10776.0250	-94.8100
2025-08-07	10557.1550	-218.8700
2025-08-08	10419.3250	-137.8300
2025-08-11	10510.4050	91.0800
2025-08-12	10519.1250	8.7200
2025-08-13	10540.7250	21.6000
2025-08-14	10791.4900	250.7650
2025-08-15	10919.5450	128.0550
2025-08-18	10841.2150	-78.3300
2025-08-19	11111.6750	270.4600
2025-08-20	11308.8050	197.1300
2025-08-21	11297.0250	-11.7800
2025-08-22	11227.6150	-69.4100
2025-08-25	11234.8650	7.2500
2025-08-26	11299.3550	64.4900
2025-08-27	11234.1450	-65.2100
2025-08-28	11281.8850	47.7400
2025-08-29	11203.2150	-78.6700
2025-09-02	11214.3650	11.1500
2025-09-03	11230.9750	16.6100
2025-09-04	11235.5050	4.5300
2025-09-05	11214.9450	-20.5600
2025-09-08	11257.7550	42.8100
2025-09-09	11346.4100	88.6550
2025-09-10	11519.3650	172.9550
