# cum_return=-0.186129	ann_return=-0.222208	sharpe=-0.683105	max_dd=0.320302	n_days=189	daily_mean=-0.000882	daily_std=0.020491
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	9612.9500	-387.0500
2025-07-03	9664.0550	51.1050
2025-07-07	9630.2500	-33.8050
2025-07-08	9628.1000	-2.1500
2025-07-09	9782.9000	154.8000
2025-07-10	9624.1100	-158.7900
2025-07-11	9588.4200	-35.6900
2025-07-14	9485.5800	-102.8400
2025-07-15	9542.1900	56.6100
2025-07-16	9547.2900	5.1000
2025-07-17	9334.8300	-212.4600
2025-07-18	9095.3500	-239.4800
2025-07-21	8917.9300	-177.4200
2025-07-22	8988.3800	70.4500
2025-07-23	8896.7900	-91.5900
2025-07-24	8561.6950	-335.0950
2025-07-25	8703.8650	142.1700
2025-07-28	8572.2250	-131.6400
2025-07-29	8751.0850	178.8600
2025-07-30	8776.5150	25.4300
2025-07-31	8903.3050	126.7900
2025-08-01	9077.8950	174.5900
2025-08-04	9095.3550	17.4600
2025-08-05	8966.8900	-128.4650
2025-08-06	8933.5200	-33.3700
2025-08-07	9051.9100	118.3900
2025-08-08	9117.7300	65.8200
2025-08-11	9121.7700	4.0400
2025-08-12	9082.7400	-39.0300
2025-08-13	9010.1600	-72.5800
2025-08-14	8919.5550	-90.6050
2025-08-15	8633.5750	-285.9800
2025-08-18	8703.2550	69.6800
2025-08-19	8859.7850	156.5300
2025-08-20	9068.6150	208.8300
2025-08-21	9030.3650	-38.2500
2025-08-22	8885.0650	-145.3000
2025-08-25	8932.2750	47.2100
2025-08-26	8963.9550	31.6800
2025-08-27	8951.0050	-12.9500
2025-08-28	8992.6150	41.6100
2025-08-29	9071.8550	79.2400
2025-09-02	9163.1050	91.2500
2025-09-03	9106.2950	-56.8100
2025-09-04	9067.4900	-38.8050
2025-09-05	9134.1000	66.6100
2025-09-08	9042.6250	-91.4750
2025-09-09	8869.3750	-173.2500
2025-09-10	8826.8300	-42.5450
2025-09-11	9112.7450	285.9150
2025-09-12	9023.9650	-88.7800
2025-09-15	8873.9700	-149.9950
2025-09-16	9050.8600	176.8900
2025-09-17	9132.4050	81.5450
2025-09-18	9196.1150	63.7100
2025-09-19	9003.5050	-192.6100
2025-09-22	9049.7250	46.2200
2025-09-23	9028.2150	-21.5100
2025-09-24	9005.5450	-22.6700
2025-09-25	8870.8850	-134.6600
2025-09-26	8937.3950	66.5100
2025-09-29	8930.9550	-6.4400
2025-09-30	8945.0350	14.0800
2025-10-01	9017.5050	72.4700
2025-10-02	8917.6150	-99.8900
2025-10-03	8970.9000	53.2850
2025-10-06	8930.0600	-40.8400
2025-10-07	8946.8000	16.7400
2025-10-08	8756.9350	-189.8650
2025-10-09	8721.7100	-35.2250
2025-10-10	8759.8650	38.1550
2025-10-13	8593.5800	-166.2850
2025-10-14	8642.4450	48.8650
2025-10-15	8522.6900	-119.7550
2025-10-16	8396.8800	-125.8100
2025-10-17	8427.0200	30.1400
2025-10-20	8368.5700	-58.4500
2025-10-21	8445.7550	77.1850
2025-10-22	8436.6450	-9.1100
2025-10-23	7838.6300	-598.0150
2025-10-24	7523.7400	-314.8900
2025-10-27	7507.5600	-16.1800
2025-10-28	7383.7000	-123.8600
2025-10-29	7249.3900	-134.3100
2025-10-30	7226.5500	-22.8400
2025-10-31	7344.7300	118.1800
2025-11-03	7076.4400	-268.2900
2025-11-04	7398.4400	322.0000
2025-11-05	7148.1700	-250.2700
2025-11-06	7058.7100	-89.4600
2025-11-07	7168.1600	109.4500
2025-11-10	6796.9800	-371.1800
2025-11-11	7002.7100	205.7300
2025-11-12	6878.4550	-124.2550
2025-11-13	6945.2450	66.7900
2025-11-14	6877.3550	-67.8900
2025-11-17	6941.4350	64.0800
2025-11-18	7290.9950	349.5600
2025-11-19	7352.2450	61.2500
2025-11-20	7544.7150	192.4700
2025-11-21	7599.2150	54.5000
2025-11-24	7568.6100	-30.6050
2025-11-25	7641.9400	73.3300
2025-11-26	7633.8100	-8.1300
2025-11-28	7671.5200	37.7100
2025-12-01	7624.0800	-47.4400
2025-12-02	7753.5500	129.4700
2025-12-03	7874.2200	120.6700
2025-12-04	8079.2100	204.9900
2025-12-05	8006.6500	-72.5600
2025-12-08	7987.6300	-19.0200
2025-12-09	7922.0300	-65.6000
2025-12-10	7844.8200	-77.2100
2025-12-11	7975.8500	131.0300
2025-12-12	8125.5900	149.7400
2025-12-15	8153.7000	28.1100
2025-12-16	8243.8600	90.1600
2025-12-17	8449.0850	205.2250
2025-12-18	8266.0550	-183.0300
2025-12-19	8057.7450	-208.3100
2025-12-22	8008.1350	-49.6100
2025-12-23	8098.1150	89.9800
2025-12-24	7981.6650	-116.4500
2025-12-26	7989.2750	7.6100
2025-12-29	7941.0750	-48.2000
2025-12-30	7992.1050	51.0300
2025-12-31	8105.5250	113.4200
2026-01-02	7738.5900	-366.9350
2026-01-05	7730.8950	-7.6950
2026-01-06	7544.5750	-186.3200
2026-01-07	7613.8850	69.3100
2026-01-08	7791.2100	177.3250
2026-01-09	7692.2600	-98.9500
2026-01-12	7732.8700	40.6100
2026-01-13	7889.6050	156.7350
2026-01-14	8076.7200	187.1150
2026-01-15	8130.2100	53.4900
2026-01-16	7898.2200	-231.9900
2026-01-20	7698.6500	-199.5700
2026-01-21	7537.3400	-161.3100
2026-01-22	7477.4050	-59.9350
2026-01-23	7559.0300	81.6250
2026-01-26	7658.8200	99.7900
2026-01-27	7891.1800	232.3600
2026-01-28	7799.5300	-91.6500
2026-01-29	7756.6500	-42.8800
2026-01-30	7849.4400	92.7900
2026-02-02	7712.0200	-137.4200
2026-02-03	7849.7200	137.7000
2026-02-04	8190.6000	340.8800
2026-02-05	8281.0200	90.4200
2026-02-06	7267.3450	-1013.6750
2026-02-09	7265.9300	-1.4150
2026-02-10	7279.4000	13.4700
2026-02-11	6988.2500	-291.1500
2026-02-12	7060.5200	72.2700
2026-02-13	7195.7900	135.2700
2026-02-17	7244.2850	48.4950
2026-02-18	7384.2200	139.9350
2026-02-19	7672.3950	288.1750
2026-02-20	7665.0200	-7.3750
2026-02-23	7990.2200	325.2000
2026-02-24	8002.2350	12.0150
2026-02-25	7827.3850	-174.8500
2026-02-26	7900.5450	73.1600
2026-02-27	7937.8100	37.2650
2026-03-02	7902.4250	-35.3850
2026-03-03	7931.5000	29.0750
2026-03-04	7912.6100	-18.8900
2026-03-05	7814.3050	-98.3050
2026-03-06	7851.1800	36.8750
2026-03-09	7812.0600	-39.1200
2026-03-10	7531.1550	-280.9050
2026-03-11	7470.4200	-60.7350
2026-03-12	7580.1050	109.6850
2026-03-13	7384.6700	-195.4350
2026-03-16	7255.5050	-129.1650
2026-03-17	7108.9650	-146.5400
2026-03-18	7224.6800	115.7150
2026-03-19	7252.0950	27.4150
2026-03-20	7428.0750	175.9800
2026-03-23	7544.4150	116.3400
2026-03-24	7762.9400	218.5250
2026-03-25	7922.2800	159.3400
2026-03-26	8098.1150	175.8350
2026-03-27	7934.3850	-163.7300
2026-03-30	8100.1550	165.7700
2026-03-31	8138.7100	38.5550
