# cum_return=0.116767	ann_return=0.174349	sharpe=0.757575	max_dd=0.123253	n_days=189	daily_mean=0.000692	daily_std=0.014497
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	9742.7800	-257.2200
2025-07-03	9842.6500	99.8700
2025-07-07	9846.0100	3.3600
2025-07-08	9717.6000	-128.4100
2025-07-09	9805.2400	87.6400
2025-07-10	9778.9500	-26.2900
2025-07-11	9854.1050	75.1550
2025-07-14	9945.9650	91.8600
2025-07-15	9860.0650	-85.9000
2025-07-16	9876.2750	16.2100
2025-07-17	9757.4750	-118.8000
2025-07-18	9566.6350	-190.8400
2025-07-21	9541.8250	-24.8100
2025-07-22	9447.5750	-94.2500
2025-07-23	9539.8350	92.2600
2025-07-24	9392.1900	-147.6450
2025-07-25	9486.5850	94.3950
2025-07-28	9442.6750	-43.9100
2025-07-29	9305.3400	-137.3350
2025-07-30	8997.0550	-308.2850
2025-07-31	9162.4150	165.3600
2025-08-01	9175.8650	13.4500
2025-08-04	9126.3150	-49.5500
2025-08-05	9089.5050	-36.8100
2025-08-06	9057.3600	-32.1450
2025-08-07	9013.0500	-44.3100
2025-08-08	8935.8800	-77.1700
2025-08-11	8966.9900	31.1100
2025-08-12	8997.8300	30.8400
2025-08-13	9086.2700	88.4400
2025-08-14	9318.2650	231.9950
2025-08-15	9511.9050	193.6400
2025-08-18	9541.5300	29.6250
2025-08-19	9551.2600	9.7300
2025-08-20	9543.3300	-7.9300
2025-08-21	9485.1800	-58.1500
2025-08-22	9437.7400	-47.4400
2025-08-25	9415.0300	-22.7100
2025-08-26	9391.1900	-23.8400
2025-08-27	9397.8450	6.6550
2025-08-28	9376.7950	-21.0500
2025-08-29	9309.0150	-67.7800
2025-09-02	9349.2450	40.2300
2025-09-03	9070.2750	-278.9700
2025-09-04	8944.4400	-125.8350
2025-09-05	8974.9900	30.5500
2025-09-08	9069.2050	94.2150
2025-09-09	9538.9650	469.7600
2025-09-10	9497.9350	-41.0300
2025-09-11	9577.6950	79.7600
2025-09-12	9580.8600	3.1650
2025-09-15	9460.6700	-120.1900
2025-09-16	9596.5600	135.8900
2025-09-17	9523.9000	-72.6600
2025-09-18	9595.8600	71.9600
2025-09-19	9725.5050	129.6450
2025-09-22	9919.7250	194.2200
2025-09-23	9903.2650	-16.4600
2025-09-24	9896.8350	-6.4300
2025-09-25	9657.6850	-239.1500
2025-09-26	9584.4450	-73.2400
2025-09-29	9738.4700	154.0250
2025-09-30	9822.3500	83.8800
2025-10-01	9907.7200	85.3700
2025-10-02	9832.9400	-74.7800
2025-10-03	9688.4700	-144.4700
2025-10-06	9769.0600	80.5900
2025-10-07	9788.8550	19.7950
2025-10-08	9969.3000	180.4450
2025-10-09	10089.2600	119.9600
2025-10-10	10003.4850	-85.7750
2025-10-13	10111.3900	107.9050
2025-10-14	10149.6850	38.2950
2025-10-15	9972.9950	-176.6900
2025-10-16	10054.5300	81.5350
2025-10-17	9930.5300	-124.0000
2025-10-20	9672.5900	-257.9400
2025-10-21	9596.6750	-75.9150
2025-10-22	9726.2300	129.5550
2025-10-23	9541.1100	-185.1200
2025-10-24	9519.0250	-22.0850
2025-10-27	9403.3700	-115.6550
2025-10-28	9309.2000	-94.1700
2025-10-29	9340.4750	31.2750
2025-10-30	8946.9850	-393.4900
2025-10-31	9020.2300	73.2450
2025-11-03	9090.3800	70.1500
2025-11-04	9276.0250	185.6450
2025-11-05	9351.5050	75.4800
2025-11-06	9236.8250	-114.6800
2025-11-07	9303.4700	66.6450
2025-11-10	9414.0000	110.5300
2025-11-11	9432.4450	18.4450
2025-11-12	9643.2100	210.7650
2025-11-13	9662.3700	19.1600
2025-11-14	9699.4900	37.1200
2025-11-17	9800.7800	101.2900
2025-11-18	9680.4650	-120.3150
2025-11-19	9556.8450	-123.6200
2025-11-20	9614.2650	57.4200
2025-11-21	9401.1700	-213.0950
2025-11-24	9333.4800	-67.6900
2025-11-25	9244.0350	-89.4450
2025-11-26	9270.3500	26.3150
2025-11-28	9286.4550	16.1050
2025-12-01	9316.7700	30.3150
2025-12-02	9165.9400	-150.8300
2025-12-03	8906.4500	-259.4900
2025-12-04	9187.7350	281.2850
2025-12-05	9032.8050	-154.9300
2025-12-08	9196.2000	163.3950
2025-12-09	9296.2900	100.0900
2025-12-10	9221.4700	-74.8200
2025-12-11	9389.6350	168.1650
2025-12-12	9416.0850	26.4500
2025-12-15	9406.4300	-9.6550
2025-12-16	9453.5700	47.1400
2025-12-17	9400.6300	-52.9400
