# cum_return=0.169881	ann_return=0.222610	sharpe=1.416927	max_dd=0.067393	n_days=189	daily_mean=0.000883	daily_std=0.009897
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	10158.2400	158.2400
2025-07-03	10231.4600	73.2200
2025-07-07	10194.9500	-36.5100
2025-07-08	10319.3900	124.4400
2025-07-09	10359.5700	40.1800
2025-07-10	10358.8500	-0.7200
2025-07-11	10429.5500	70.7000
2025-07-14	10470.4700	40.9200
2025-07-15	10542.6900	72.2200
2025-07-16	10568.5100	25.8200
2025-07-17	10614.9700	46.4600
2025-07-18	10656.4600	41.4900
2025-07-21	10676.1000	19.6400
2025-07-22	10716.2200	40.1200
2025-07-23	10797.0600	80.8400
2025-07-24	10978.0500	180.9900
2025-07-25	10757.6150	-220.4350
2025-07-28	10747.4750	-10.1400
2025-07-29	10694.0950	-53.3800
2025-07-30	10664.6850	-29.4100
2025-07-31	10726.2250	61.5400
2025-08-01	10716.4150	-9.8100
2025-08-04	10738.6550	22.2400
2025-08-05	10810.8950	72.2400
2025-08-06	10746.9350	-63.9600
2025-08-07	10494.8050	-252.1300
2025-08-08	10420.5850	-74.2200
2025-08-11	10536.1050	115.5200
2025-08-12	10602.2250	66.1200
2025-08-13	10582.5350	-19.6900
2025-08-14	10804.5500	222.0150
2025-08-15	10958.3450	153.7950
2025-08-18	10852.4050	-105.9400
2025-08-19	11056.8150	204.4100
2025-08-20	11269.2450	212.4300
2025-08-21	11281.9150	12.6700
2025-08-22	11219.0850	-62.8300
2025-08-25	11263.1150	44.0300
2025-08-26	11275.2350	12.1200
2025-08-27	11205.6350	-69.6000
2025-08-28	11208.8850	3.2500
2025-08-29	11133.7250	-75.1600
2025-09-02	11143.3650	9.6400
2025-09-03	11109.3850	-33.9800
2025-09-04	11086.4250	-22.9600
2025-09-05	11102.0750	15.6500
2025-09-08	11146.5650	44.4900
2025-09-09	11254.4600	107.8950
2025-09-10	11355.0150	100.5550
2025-09-11	11265.1550	-89.8600
2025-09-12	11164.5750	-100.5800
2025-09-15	11208.6350	44.0600
2025-09-16	11287.1700	78.5350
2025-09-17	11248.7950	-38.3750
2025-09-18	11812.6800	563.8850
