# cum_return=0.104516	ann_return=0.156988	sharpe=0.717350	max_dd=0.127551	n_days=189	daily_mean=0.000623	daily_std=0.013786
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	9810.1600	-189.8400
2025-07-03	9935.5500	125.3900
2025-07-07	9936.0500	0.5000
2025-07-08	9856.5100	-79.5400
2025-07-09	9946.3200	89.8100
2025-07-10	9925.3500	-20.9700
2025-07-11	10014.2550	88.9050
2025-07-14	10092.7450	78.4900
2025-07-15	9967.4850	-125.2600
2025-07-16	9965.5050	-1.9800
2025-07-17	9847.8150	-117.6900
2025-07-18	9697.7850	-150.0300
2025-07-21	9714.9150	17.1300
2025-07-22	9661.3150	-53.6000
2025-07-23	9814.8350	153.5200
2025-07-24	9659.3400	-155.4950
2025-07-25	9774.2650	114.9250
2025-07-28	9723.7550	-50.5100
2025-07-29	9551.4700	-172.2850
2025-07-30	9270.4250	-281.0450
2025-07-31	9606.8850	336.4600
2025-08-01	9584.7950	-22.0900
2025-08-04	9519.8450	-64.9500
2025-08-05	9481.9850	-37.8600
2025-08-06	9416.3600	-65.6250
2025-08-07	9355.7600	-60.6000
2025-08-08	9278.5900	-77.1700
2025-08-11	9329.1900	50.6000
2025-08-12	9393.3900	64.2000
2025-08-13	9428.1900	34.8000
2025-08-14	9650.7950	222.6050
2025-08-15	9848.8850	198.0900
2025-08-18	9895.8700	46.9850
2025-08-19	9914.3800	18.5100
2025-08-20	10066.1400	151.7600
2025-08-21	10034.5800	-31.5600
2025-08-22	10029.3900	-5.1900
2025-08-25	10034.7300	5.3400
2025-08-26	10040.5100	5.7800
2025-08-27	10031.9350	-8.5750
2025-08-28	9988.5950	-43.3400
2025-08-29	9943.4250	-45.1700
2025-09-02	9936.4950	-6.9300
2025-09-03	9648.3350	-288.1600
2025-09-04	9532.6000	-115.7350
2025-09-05	9517.0100	-15.5900
2025-09-08	9598.9550	81.9450
2025-09-09	10073.1950	474.2400
2025-09-10	10119.8750	46.6800
2025-09-11	10202.4350	82.5600
2025-09-12	10172.0300	-30.4050
2025-09-15	10108.2300	-63.8000
2025-09-16	10191.5000	83.2700
2025-09-17	10108.4400	-83.0600
2025-09-18	10174.9700	66.5300
2025-09-19	10292.6950	117.7250
2025-09-22	10353.7650	61.0700
2025-09-23	10337.3050	-16.4600
2025-09-24	10338.7150	1.4100
2025-09-25	10114.1650	-224.5500
2025-09-26	10040.9250	-73.2400
2025-09-29	10193.2100	152.2850
2025-09-30	10277.0900	83.8800
2025-10-01	10362.4600	85.3700
2025-10-02	10287.6800	-74.7800
2025-10-03	10143.2100	-144.4700
2025-10-06	10223.8000	80.5900
2025-10-07	10243.5950	19.7950
2025-10-08	10424.0400	180.4450
2025-10-09	10520.5000	96.4600
2025-10-10	10434.7250	-85.7750
2025-10-13	10537.2700	102.5450
2025-10-14	10575.5650	38.2950
2025-10-15	10398.8750	-176.6900
2025-10-16	10480.4100	81.5350
2025-10-17	10354.0600	-126.3500
2025-10-20	10109.6400	-244.4200
2025-10-21	10022.0750	-87.5650
2025-10-22	10125.3100	103.2350
2025-10-23	9997.2900	-128.0200
2025-10-24	10014.5850	17.2950
2025-10-27	9827.7650	-186.8200
2025-10-28	9758.2650	-69.5000
2025-10-29	9902.4250	144.1600
2025-10-30	9553.6550	-348.7700
2025-10-31	9582.2400	28.5850
2025-11-03	9678.6500	96.4100
2025-11-04	9765.9750	87.3250
2025-11-05	9859.7050	93.7300
2025-11-06	9797.9550	-61.7500
2025-11-07	9830.4600	32.5050
2025-11-10	9919.8200	89.3600
2025-11-11	9842.8050	-77.0150
2025-11-12	10031.6600	188.8550
2025-11-13	10090.8800	59.2200
2025-11-14	10163.5600	72.6800
2025-11-17	10242.9300	79.3700
2025-11-18	10088.1850	-154.7450
2025-11-19	9962.4350	-125.7500
2025-11-20	10003.8450	41.4100
2025-11-21	9813.4950	-190.3500
2025-11-24	9785.4050	-28.0900
2025-11-25	9708.6700	-76.7350
2025-11-26	9693.1650	-15.5050
2025-11-28	9489.9100	-203.2550
2025-12-01	9543.2750	53.3650
2025-12-02	9394.9150	-148.3600
2025-12-03	9226.6450	-168.2700
2025-12-04	9562.4000	335.7550
2025-12-05	9492.7800	-69.6200
2025-12-08	9665.4350	172.6550
2025-12-09	9746.3450	80.9100
2025-12-10	9705.6550	-40.6900
2025-12-11	9867.7000	162.0450
2025-12-12	9868.8400	1.1400
2025-12-15	9844.4150	-24.4250
2025-12-16	9969.8750	125.4600
2025-12-17	9947.2650	-22.6100
2025-12-18	10005.4450	58.1800
2025-12-19	10046.9750	41.5300
2025-12-22	10169.7700	122.7950
2025-12-23	10191.6650	21.8950
2025-12-24	10192.7850	1.1200
2025-12-26	10223.1450	30.3600
2025-12-29	10192.8200	-30.3250
2025-12-30	10231.3900	38.5700
2025-12-31	10207.1000	-24.2900
2026-01-02	10042.2750	-164.8250
2026-01-05	10006.0700	-36.2050
2026-01-06	10253.2250	247.1550
2026-01-07	10054.4750	-198.7500
2026-01-08	10157.7350	103.2600
2026-01-09	9852.0950	-305.6400
2026-01-12	9864.1450	12.0500
2026-01-13	9577.8700	-286.2750
2026-01-14	9443.9250	-133.9450
2026-01-15	9556.7600	112.8350
2026-01-16	9819.8100	263.0500
2026-01-20	9719.3200	-100.4900
2026-01-21	9466.3750	-252.9450
2026-01-22	9647.5250	181.1500
2026-01-23	10238.1600	590.6350
2026-01-26	10337.3250	99.1650
2026-01-27	10637.0400	299.7150
2026-01-28	10687.7500	50.7100
2026-01-29	10577.5450	-110.2050
2026-01-30	10500.5600	-76.9850
2026-02-02	10165.8300	-334.7300
2026-02-03	10086.9700	-78.8600
2026-02-04	10053.3550	-33.6150
2026-02-05	9932.6700	-120.6850
2026-02-06	9937.7250	5.0550
2026-02-09	10027.3600	89.6350
2026-02-10	10267.1400	239.7800
2026-02-11	10424.9050	157.7650
2026-02-12	10619.4000	194.4950
2026-02-13	10736.7300	117.3300
2026-02-17	10763.4000	26.6700
2026-02-18	10870.6650	107.2650
2026-02-19	11104.7950	234.1300
2026-02-20	11187.7850	82.9900
2026-02-23	11034.8050	-152.9800
2026-02-24	10934.1850	-100.6200
2026-02-25	10953.3000	19.1150
2026-02-26	10996.1650	42.8650
2026-02-27	11050.5400	54.3750
2026-03-02	11154.2950	103.7550
2026-03-03	11284.2300	129.9350
2026-03-04	11384.1300	99.9000
2026-03-05	11452.5650	68.4350
2026-03-06	11520.5700	68.0050
2026-03-09	11455.3650	-65.2050
2026-03-10	11349.3450	-106.0200
2026-03-11	11410.3600	61.0150
2026-03-12	11487.4000	77.0400
2026-03-13	11458.6400	-28.7600
