# cum_return=0.215750	ann_return=0.291764	sharpe=1.188950	max_dd=0.150136	n_days=189	daily_mean=0.001158	daily_std=0.015459
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	9733.1000	-266.9000
2025-07-03	9802.1200	69.0200
2025-07-07	9851.8900	49.7700
2025-07-08	9717.2700	-134.6200
2025-07-09	9827.8000	110.5300
2025-07-10	9797.6000	-30.2000
2025-07-11	9770.7600	-26.8400
2025-07-14	9817.2800	46.5200
2025-07-15	9768.1100	-49.1700
2025-07-16	9841.4000	73.2900
2025-07-17	9694.1300	-147.2700
2025-07-18	9501.4500	-192.6800
2025-07-21	9429.1850	-72.2650
2025-07-22	9364.3750	-64.8100
2025-07-23	9530.6950	166.3200
2025-07-24	9208.3950	-322.3000
2025-07-25	9367.5300	159.1350
2025-07-28	9170.3950	-197.1350
2025-07-29	8920.5850	-249.8100
2025-07-30	8602.5100	-318.0750
2025-07-31	8917.5800	315.0700
2025-08-01	8953.9100	36.3300
2025-08-04	8908.4400	-45.4700
2025-08-05	8806.0400	-102.4000
2025-08-06	8703.4350	-102.6050
2025-08-07	8610.1100	-93.3250
2025-08-08	8498.6400	-111.4700
2025-08-11	8508.5400	9.9000
2025-08-12	8622.3000	113.7600
2025-08-13	8732.4900	110.1900
2025-08-14	8926.5750	194.0850
2025-08-15	9126.2850	199.7100
2025-08-18	9167.9200	41.6350
2025-08-19	9178.6150	10.6950
2025-08-20	9183.3950	4.7800
2025-08-21	9052.3850	-131.0100
2025-08-22	9067.5550	15.1700
2025-08-25	9030.7250	-36.8300
2025-08-26	8977.6750	-53.0500
2025-08-27	9012.5450	34.8700
2025-08-28	8955.3050	-57.2400
2025-08-29	8917.2450	-38.0600
2025-09-02	8987.8150	70.5700
2025-09-03	8796.1750	-191.6400
2025-09-04	8598.6800	-197.4950
2025-09-05	8669.3850	70.7050
2025-09-08	8723.3550	53.9700
2025-09-09	9365.7100	642.3550
2025-09-10	9369.5150	3.8050
2025-09-11	9622.6300	253.1150
2025-09-12	9562.3550	-60.2750
2025-09-15	9423.3450	-139.0100
2025-09-16	9543.4150	120.0700
2025-09-17	9517.0700	-26.3450
2025-09-18	9574.9000	57.8300
2025-09-19	9717.9750	143.0750
2025-09-22	9952.3750	234.4000
2025-09-23	9920.0850	-32.2900
2025-09-24	10005.9450	85.8600
2025-09-25	9797.8600	-208.0850
2025-09-26	9714.7650	-83.0950
2025-09-29	9876.3200	161.5550
2025-09-30	9977.4350	101.1150
2025-10-01	10033.0500	55.6150
2025-10-02	9920.7250	-112.3250
2025-10-03	9756.9500	-163.7750
2025-10-06	9700.2150	-56.7350
2025-10-07	9724.0350	23.8200
2025-10-08	9832.0750	108.0400
2025-10-09	9942.3850	110.3100
2025-10-10	9891.2600	-51.1250
2025-10-13	10013.3100	122.0500
2025-10-14	10078.2200	64.9100
2025-10-15	9834.0900	-244.1300
2025-10-16	9945.4450	111.3550
2025-10-17	9812.7950	-132.6500
2025-10-20	9548.1850	-264.6100
2025-10-21	9500.4450	-47.7400
2025-10-22	9647.7200	147.2750
2025-10-23	9442.9550	-204.7650
2025-10-24	9447.7600	4.8050
2025-10-27	9260.0500	-187.7100
2025-10-28	9186.5700	-73.4800
2025-10-29	9551.5100	364.9400
2025-10-30	9212.0900	-339.4200
2025-10-31	9325.3500	113.2600
2025-11-03	9277.6750	-47.6750
2025-11-04	9569.8150	292.1400
2025-11-05	9748.6450	178.8300
2025-11-06	9804.1250	55.4800
2025-11-07	9887.1900	83.0650
2025-11-10	9779.9600	-107.2300
2025-11-11	9782.4900	2.5300
2025-11-12	9951.2800	168.7900
2025-11-13	10057.2300	105.9500
2025-11-14	10139.6800	82.4500
2025-11-17	10278.4300	138.7500
2025-11-18	10149.9450	-128.4850
2025-11-19	10056.4050	-93.5400
2025-11-20	10029.8950	-26.5100
2025-11-21	9916.5000	-113.3950
2025-11-24	9916.9400	0.4400
2025-11-25	9886.6350	-30.3050
2025-11-26	9876.9350	-9.7000
2025-11-28	9878.4650	1.5300
2025-12-01	9876.9250	-1.5400
2025-12-02	9996.7650	119.8400
2025-12-03	9733.4650	-263.3000
2025-12-04	9994.0600	260.5950
2025-12-05	9772.2550	-221.8050
2025-12-08	9805.5750	33.3200
2025-12-09	9929.4450	123.8700
2025-12-10	9837.4250	-92.0200
2025-12-11	9981.5950	144.1700
2025-12-12	9983.5850	1.9900
2025-12-15	9933.2450	-50.3400
2025-12-16	9999.2350	65.9900
2025-12-17	9996.9400	-2.2950
2025-12-18	10025.9950	29.0550
2025-12-19	10016.4950	-9.5000
2025-12-22	10216.1050	199.6100
2025-12-23	10242.4150	26.3100
2025-12-24	10225.8350	-16.5800
2025-12-26	10280.7100	54.8750
2025-12-29	10321.8300	41.1200
2025-12-30	10378.3600	56.5300
2025-12-31	10377.4200	-0.9400
2026-01-02	10209.7200	-167.7000
2026-01-05	10268.8700	59.1500
2026-01-06	10367.6650	98.7950
2026-01-07	10367.3350	-0.3300
2026-01-08	10410.1750	42.8400
2026-01-09	10135.3350	-274.8400
2026-01-12	10173.7850	38.4500
2026-01-13	9829.9300	-343.8550
2026-01-14	9739.7450	-90.1850
2026-01-15	9850.8200	111.0750
2026-01-16	10091.3800	240.5600
2026-01-20	10116.7700	25.3900
2026-01-21	9827.0450	-289.7250
2026-01-22	10000.6050	173.5600
2026-01-23	10548.1600	547.5550
2026-01-26	10676.7450	128.5850
2026-01-27	11064.2650	387.5200
2026-01-28	11336.8950	272.6300
2026-01-29	11254.4150	-82.4800
2026-01-30	11168.3550	-86.0600
2026-02-02	10922.3850	-245.9700
2026-02-03	10977.4050	55.0200
2026-02-04	11200.2500	222.8450
2026-02-05	11125.8950	-74.3550
2026-02-06	11215.4200	89.5250
2026-02-09	11333.0050	117.5850
2026-02-10	11586.1150	253.1100
2026-02-11	11655.3400	69.2250
2026-02-12	11800.3150	144.9750
2026-02-13	11918.4450	118.1300
2026-02-17	11992.5600	74.1150
2026-02-18	12086.3450	93.7850
2026-02-19	12301.6100	215.2650
2026-02-20	12352.4650	50.8550
2026-02-23	12306.3200	-46.1450
2026-02-24	12195.1300	-111.1900
2026-02-25	12214.0250	18.8950
2026-02-26	12308.4900	94.4650
2026-02-27	12325.7050	17.2150
2026-03-02	12439.1850	113.4800
2026-03-03	12573.3200	134.1350
2026-03-04	12633.3200	60.0000
2026-03-05	12720.6100	87.2900
2026-03-06	12798.8050	78.1950
2026-03-09	12709.7150	-89.0900
2026-03-10	12621.5700	-88.1450
2026-03-11	12572.8150	-48.7550
2026-03-12	12548.4350	-24.3800
2026-03-13	12440.7600	-107.6750
2026-03-16	12523.4450	82.6850
2026-03-17	12610.4300	86.9850
2026-03-18	12638.8350	28.4050
2026-03-19	12535.7100	-103.1250
2026-03-20	12525.2200	-10.4900
2026-03-23	12404.0600	-121.1600
2026-03-24	12377.4600	-26.6000
2026-03-25	12165.5050	-211.9550
2026-03-26	12179.4550	13.9500
2026-03-27	12114.5400	-64.9150
2026-03-30	12252.6100	138.0700
2026-03-31	12157.5050	-95.1050
